"BehaviorSpace results (NetLogo 6.2.2)"
"escenarios.nlogo"
"experiment_1"
"06/24/2022 17:21:39:166 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","pasosmax","angulomax","[step]","restoverde","restoalimento","tiempo"
"194","1","90","30","39","89","30"
"191","1","90","30","36","80","30"
"196","1","90","30","44","126","30"
"195","1","90","26","39","102","26"
"192","1","90","44","47","125","44"
"197","1","90","26","45","118","26"
"199","1","90","28","38","98","28"
"198","1","90","28","41","110","28"
"200","1","90","28","39","120","28"
"202","1","90","32","39","102","32"
"203","1","90","28","45","110","28"
"201","1","90","28","42","92","28"
"204","1","90","30","36","93","30"
"205","1","90","30","38","110","30"
"206","1","90","26","30","62","26"
"208","1","90","28","40","119","28"
"209","1","90","38","31","70","38"
"210","1","90","28","38","109","28"
"207","1","90","34","39","92","34"
"211","1","90","30","28","67","30"
"213","1","90","26","43","117","26"
"212","1","90","28","43","115","28"
"215","1","90","28","45","124","28"
"216","1","90","32","35","106","32"
"217","1","90","32","49","111","32"
"220","1","90","28","41","101","28"
"218","1","90","28","42","99","28"
"219","1","90","38","47","95","38"
"214","1","90","32","49","132","32"
"221","1","90","34","36","98","34"
"222","1","90","26","39","104","26"
"223","1","90","30","35","94","30"
"225","1","90","28","43","117","28"
"224","1","90","46","40","83","46"
"226","1","90","28","41","110","28"
"227","1","90","30","32","82","30"
"228","1","90","30","37","98","30"
"229","1","90","32","39","109","32"
"231","1","90","30","43","106","30"
"230","1","90","28","37","91","28"
"232","1","90","26","41","81","26"
"234","1","90","26","40","95","26"
"233","1","90","30","41","99","30"
"235","1","90","34","41","97","34"
"237","1","90","34","41","107","34"
"238","1","90","28","38","71","28"
"236","1","90","34","41","121","34"
"240","1","90","28","50","120","28"
"239","1","90","26","43","123","26"
"241","1","90","30","44","119","30"
"242","1","90","34","44","117","34"
"243","1","90","30","46","116","30"
"245","1","90","30","35","96","30"
"247","1","90","32","37","97","32"
"244","1","90","44","43","102","44"
"248","1","90","26","37","87","26"
"246","1","90","28","41","117","28"
"249","1","90","30","41","98","30"
"250","1","90","28","37","88","28"
"251","1","90","28","33","72","28"
"252","1","90","28","43","91","28"
"253","1","90","26","52","140","26"
"255","1","90","26","45","128","26"
"254","1","90","28","35","95","28"
"256","1","90","28","32","77","28"
"258","1","90","28","38","95","28"
"257","1","90","34","38","92","34"
"259","1","90","30","32","81","30"
"260","1","90","34","42","96","34"
"261","1","90","30","43","102","30"
"262","1","90","30","43","113","30"
"263","1","90","26","45","113","26"
"266","1","90","26","38","98","26"
"265","1","90","32","41","102","32"
"267","1","90","30","41","101","30"
"268","1","90","28","33","79","28"
"269","1","90","26","25","73","26"
"264","1","90","28","46","112","28"
"270","1","90","30","40","102","30"
"271","1","90","28","51","127","28"
"272","1","90","32","37","75","32"
"273","1","90","28","33","108","28"
"278","1","90","28","40","114","28"
"275","1","90","28","34","94","28"
"277","1","90","30","43","98","30"
"276","1","90","34","41","84","34"
"274","1","90","34","37","101","34"
"279","1","90","30","35","95","30"
"280","1","90","32","36","90","32"
"281","1","90","28","48","135","28"
"282","1","90","30","38","94","30"
"283","1","90","24","44","100","24"
"285","1","90","28","40","111","28"
"286","1","90","26","41","110","26"
"284","1","90","26","39","93","26"
"287","1","90","32","32","68","32"
"288","1","90","30","29","58","30"
"290","1","90","30","35","85","30"
"291","1","90","30","36","85","30"
"289","1","90","32","45","112","32"
"292","1","90","28","32","71","28"
"293","1","90","30","36","116","30"
"294","1","90","30","32","82","30"
"295","1","90","28","48","136","28"
"296","1","90","26","39","84","26"
"297","1","90","28","43","104","28"
"298","1","90","32","49","149","32"
"299","1","90","28","43","119","28"
"300","1","90","28","42","108","28"
"301","1","90","30","42","96","30"
"302","1","90","30","39","109","30"
"303","1","90","36","45","89","36"
"304","1","90","28","33","69","28"
"305","1","90","28","44","121","28"
"308","1","90","34","47","124","34"
"306","1","90","30","38","90","30"
"307","1","90","34","45","126","34"
"309","1","90","32","29","60","32"
"311","1","90","30","31","72","30"
